Janeva,12,722.93,10,10.50,7988.38
Dyann,12,324.32,4,21.00,1569.71
Brendon,12,110.80,5,10.50,612.17
Gauthier,12,995.91,7,21.00,8435.36
Towney,12,924.59,7,21.00,7831.28
Sigvard,12,198.30,9,21.00,2159.49
Keen,12,342.89,4,21.00,1659.59
Remus,12,327.97,10,10.50,3624.07
Aguistin,12,280.43,3,10.50,929.63
Laureen,12,888.95,5,10.50,4911.45
Sidnee,12,524.13,1,10.50,579.16
Nichole,12,573.77,10,21.00,6942.62
Saleem,12,912.20,1,10.50,1007.98
Alexandr,12,611.53,10,21.00,7399.51
Gib,12,430.20,6,21.00,3123.25
Clovis,12,340.27,6,10.50,2255.99
Theresina,12,427.49,3,10.50,1417.13
Gail,12,167.58,9,10.50,1666.58
Birgitta,12,284.97,1,10.50,314.89
Odella,12,342.60,8,10.50,3028.58
Maryanna,12,972.38,7,21.00,8236.06
Bradan,12,157.56,8,10.50,1392.83
Carey,12,377.16,9,21.00,4107.27
Valeria,12,811.21,7,21.00,6870.95
Gerhard,12,276.07,9,10.50,2745.52
Lem,12,684.82,5,10.50,3783.63
Janis,12,844.03,4,21.00,4085.11
